id,human,judge
0,0,0
1,1,1
2,0,0
3,1,1
4,0,0
5,1,1
6,0,0
7,1,1
8,0,0
9,1,1
10,0,0
11,1,1
12,0,0
13,1,1
14,0,0
15,1,1
16,0,0
17,1,1
18,0,0
19,1,1
20,0,0
21,1,1
22,0,0
23,1,1
24,0,0
25,1,1
26,0,0
27,1,1
28,0,0
29,1,1
30,0,0
31,1,1
32,0,0
33,1,1
34,0,0
35,1,1
36,0,0
37,1,1
38,0,0
39,1,1
40,0,0
41,1,1
42,0,0
43,1,1
44,0,0
45,1,1
46,0,0
47,1,1
48,0,0
49,1,1
50,0,0
51,1,1
52,0,0
53,1,1
54,0,0
55,1,1
56,0,0
57,1,1
58,0,0
59,1,1
60,0,0
61,1,1
62,0,0
63,1,1
64,0,0
65,1,1
66,0,0
67,1,1
68,0,0
69,1,1
70,0,0
71,1,1
72,0,0
73,1,1
74,0,0
75,1,1
76,0,0
77,1,1
78,0,0
79,1,1
80,0,0
81,1,1
82,0,0
83,1,1
84,0,0
85,1,1
86,0,0
87,1,1
88,0,0
89,1,1
90,0,0
91,1,1
92,0,0
93,1,1
94,0,0
95,1,1
96,0,0
97,1,1
98,0,0
99,1,1
