id,row_type,name,aidlc_phase,cluster,description,general_steps,reasoning_model,tools_in_practice,common_pitfalls,ai_leverage,ai_opportunity,evidence,eval_coverage,regression_risk,safety_exposure,flywheel_linkage,maps_to_classic,phase_status
AT-01,modify,Mine production traces into failure-mode clusters,1-Discovery,Discovery & Capability Mapping,"Turn raw production agent runs into ranked, named failure-mode clusters that point to what to fix next.","Sample recent production traces|Group by failure type|Rank clusters by frequency x severity|Link representative exemplars|File novel failures to the eval dataset|Hand off the ranked queue","Failing traces are the roadmap; cluster into patterns, never react to one-offs; the production distribution always differs from staging.","LangSmith|Langfuse|Arize Phoenix|Braintrust","Vibe-checking logs|reacting to one dramatic trace|ignoring novel modes|not growing the dataset",copilot,"Auto-cluster low-scoring traces into a triage queue; PM prioritizes which clusters matter.","braintrust:eval-driven-development|arize:phoenix-evals|concept:grounded-data-analyst",partial,low,med,consumer,T-088;T-006,now
AT-02,net-new,Run a capability-elicitation probe on a new model,1-Discovery,Discovery & Capability Mapping,"Test whether a newly released model unlocks a use case the current model cannot do.","Define candidate task + inputs|Prompt across regimes (zero/few-shot, tools)|Score vs the incumbent model|Note capability + failure deltas|Decide unlock yes/no/needs-work","A new model is an opportunity surface, not just a swap; probe for net-new capability before re-pricing the roadmap.","model playground|Braintrust|OpenAI/Anthropic consoles|OpenRouter","Anecdotal one-prompt judgments|testing on memorized examples|ignoring cost/latency of the new capability",copilot,"AI runs the probe battery and scores; PM judges whether the unlocked capability is worth building on.","arxiv:llm-agent-eval-survey-2025|concept:agent-benchmarking",partial,low,none,none,net-new,now
AT-03,modify,Triage a thumbs-down or negative-feedback event,1-Discovery,Discovery & Capability Mapping,"Classify a single user-flagged bad output and route it to a fix or the dataset.","Read the flagged trace|Reproduce with seed/temperature|Classify the failure type|Add to the eval/regression dataset|Route to prompt/retrieval/tool/model owner","A thumbs-down is a labeled datapoint, not a complaint; reproduce before believing and capture it before it decays.","Langfuse|LangSmith|Braintrust|Zendesk","Treating it as a one-off|not reproducing|losing the trace link|no dataset capture",copilot,"AI drafts the classification + repro and proposes the route; PM confirms severity.","braintrust:how-to-eval|concept:grounded-data-analyst",partial,low,med,producer,T-052;T-005,now
AT-04,net-new,Build a use-case to eval-gap map,1-Discovery,Discovery & Capability Mapping,"Map desired product behaviors to existing evals and flag the ungraded ones before they regress.","Enumerate target use cases/behaviors|Map each to an existing eval|Flag behaviors with no coverage|Size the risk of each gap|Prioritize gaps to close","Ungraded behavior is unmanaged behavior; coverage gaps are where silent regressions hide.","Braintrust|Promptfoo|spreadsheet","Assuming a passing suite means full coverage|ignoring slices|no risk sizing",copilot,"AI inventories behaviors and cross-references the eval suite; PM ranks the gaps.","braintrust:evals-are-the-new-prd|pixelbank:edd",partial,med,med,none,net-new,now
AT-05,modify,Competitive model or agent teardown on your eval set,1-Discovery,Discovery & Capability Mapping,"Run a competitor model or agent through your own rubric to locate capability deltas.","Get competitor access|Run your eval set through it|Score vs your system|Note where it wins/loses|Decide borrow/counter/ignore","Your eval set is the only fair comparison; public leaderboards measure someone else's task, not yours.","Braintrust|Promptfoo|OpenRouter","Trusting public benchmark scores|definition mismatch|copying capability without the use case",copilot,"AI runs the competitor through the harness and tabulates deltas; PM judges the strategic response.","concept:agent-benchmarking|braintrust:how-to-eval",gated,low,none,none,T-007,now
AT-06,modify,Cluster negative feedback into quality themes,1-Discovery,Discovery & Capability Mapping,"Cluster thumbs-down, edits, and complaints into ranked quality themes for the roadmap.","Pull the feedback window|Cluster by theme|Rank by frequency x severity|Link exemplars|Tag novel themes","The score is noise; the verbatims and edits are the signal about what to fix.","Arize Phoenix|Enterpret|Dovetail|Braintrust","Fixating on the aggregate score|over-reading a small sample|losing source links",copilot,"AI clusters and ranks; PM validates the themes.","braintrust:eval-driven-development|concept:grounded-data-analyst",partial,low,med,consumer,T-005;T-145,now
AT-07,modify,Mine tool-call logs for unreliable tools,1-Discovery,Discovery & Capability Mapping,"Find tools or MCP servers with high error, timeout, or misuse rates from trace spans.","Pull tool-call spans|Compute error+latency+timeout by tool|Rank the unreliable tools|Flag flaky/abused tools|Hand off for fix or replacement","A flaky tool quietly caps agent quality; reliability of the tool surface is a product metric, not just an ops one.","OpenTelemetry traces|Helicone|Datadog LLM Obs|LangSmith","Treating tool errors as pure ops|ignoring silent timeouts|no per-tool attribution",copilot,"AI aggregates tool-call spans and ranks reliability; PM decides fix vs replace.","otel:genai-semconv|concept:llm-observability",partial,med,none,consumer,T-085,now
AT-08,modify,Write the eval rubric or scoring function for a capability,2-Eval-Spec,Eval & Spec Definition (hub),"Define what good means for an AI capability as a graded scoring function; the eval is the modern PRD.","Assemble real example inputs|Define the task the system performs|Write explicit one-dimension scoring criteria|Encode graded scores|Calibrate against human judgment|Version the rubric","The scoring function is the new PRD; the prompt is temporary, the eval is permanent; score one dimension per scorer or you cannot localize a regression.","Braintrust|Promptfoo|LangSmith|OpenAI Evals","Delegating the rubric to engineers|vibe-checking instead of scoring|lumping multiple dimensions|no real-data examples",human-led,"AI drafts candidate criteria + a starter dataset; the PM personally owns and calibrates the rubric.","braintrust:evals-are-the-new-prd|aakashg:ankur-goyal",gated,high,med,producer,T-046;T-029,now
AT-09,net-new,Curate a golden eval dataset from prod traces,2-Eval-Spec,Eval & Spec Definition (hub),"Build the versioned dataset of representative and hard cases the eval suite runs against.","Sample representative + hard + adversarial cases|De-dup|Label expected behavior|Check leakage vs training|Version and freeze the split","The dataset is the new user research; a frozen, representative split is what makes scores comparable over time.","Braintrust Datasets|Langfuse Datasets|Argilla","Over-fitting the set to today's prompt|leakage into training|stale set that drifts from prod",copilot,"AI proposes candidate cases from traces; PM curates and labels the gold.","braintrust:how-to-eval|aakashg:ankur-goyal",partial,high,med,producer,net-new,now
AT-10,net-new,Design a single-dimension code-based scorer,2-Eval-Spec,Eval & Spec Definition (hub),"Write a deterministic scorer that checks exactly one quality dimension (format, schema, exact-match).","Pick one dimension|Write the deterministic check|Unit-test the scorer on known cases|Register it in the suite","Use code for what code can check; one dimension per scorer keeps optimization trade-offs visible.","autoevals|Promptfoo|Python|Braintrust","Lumping dimensions|scoring quality as one number|untested scorer",copilot,"AI writes the scorer code from the dimension spec; PM verifies it measures the right thing.","braintrust:how-to-eval|arize:phoenix-evals",gated,med,none,producer,net-new,now
